driver,team,track,location,date,compound,fresh_tyre,stint_num,laps_in_stint,tire_life,avg_lap_time_first_3,avg_lap_time_last_3,lap_time_diff_first_last,temp_C,humidity_%,pressure_hPa,rainfall_mm,wind_speed_kmh,wind_direction_deg,starting_position,laps_remaining_when_stint_started,tire_age_at_start,track_status_flag_rate,nearby_pit_count,prior_pit_count
VER,Red Bull Racing,British Grand Prix,Silverstone,2022-07-03,HARD,True,4.0,13,11.0,94.83866666666667,94.33833333333332,-0.5003333333333444,18.25320197044335,59.748768472906406,1002.3581280788177,0.04433497536945813,1.4561576354679802,160.49261083743843,8.0,27.0,2.0,1.0,0,0
VER,Red Bull Racing,British Grand Prix,Silverstone,2022-07-03,SOFT,True,5.0,10,6.0,92.60366666666665,93.16333333333334,0.5596666666666863,18.25320197044335,59.748768472906406,1002.3581280788177,0.04433497536945813,1.4561576354679802,160.49261083743843,8.0,9.0,4.0,1.0,0,0
GAS,AlphaTauri,British Grand Prix,Silverstone,2022-07-03,SOFT,True,2.0,13,7.0,107.82566666666666,95.54433333333333,-12.281333333333336,18.25320197044335,59.748768472906406,1002.3581280788177,0.04433497536945813,1.4561576354679802,160.49261083743843,7.0,49.0,2.0,1.0,0,0
GAS,AlphaTauri,British Grand Prix,Silverstone,2022-07-03,HARD,False,3.0,8,3.0,94.831,94.839,0.007999999999995566,18.25320197044335,59.748768472906406,1002.3581280788177,0.04433497536945813,1.4561576354679802,160.49261083743843,16.0,34.0,3.0,1.0,0,0
PER,Red Bull Racing,British Grand Prix,Silverstone,2022-07-03,MEDIUM,False,3.0,32,4.0,93.41733333333332,92.49433333333333,-0.9229999999999876,18.25320197044335,59.748768472906406,1002.3581280788177,0.04433497536945813,1.4561576354679802,160.49261083743843,16.0,45.0,3.0,1.0,0,0
PER,Red Bull Racing,British Grand Prix,Silverstone,2022-07-03,SOFT,True,4.0,10,8.0,92.06333333333333,91.48966666666666,-0.5736666666666679,18.25320197044335,59.748768472906406,1002.3581280788177,0.04433497536945813,1.4561576354679802,160.49261083743843,3.0,9.0,4.0,1.0,0,0
ALO,Alpine,British Grand Prix,Silverstone,2022-07-03,MEDIUM,True,2.0,30,21.0,109.57566666666666,93.84566666666666,-15.730000000000004,18.25320197044335,59.748768472906406,1002.3581280788177,0.04433497536945813,1.4561576354679802,160.49261083743843,8.0,49.0,2.0,1.0,0,0
ALO,Alpine,British Grand Prix,Silverstone,2022-07-03,SOFT,True,4.0,10,3.0,92.08533333333332,91.71966666666667,-0.36566666666665526,18.25320197044335,59.748768472906406,1002.3581280788177,0.04433497536945813,1.4561576354679802,160.49261083743843,5.0,9.0,4.0,1.0,0,0
LEC,Ferrari,British Grand Prix,Silverstone,2022-07-03,MEDIUM,True,2.0,22,7.0,112.5,92.99000000000001,-19.50999999999999,18.25320197044335,59.748768472906406,1002.3581280788177,0.04433497536945813,1.4561576354679802,160.49261083743843,3.0,49.0,2.0,1.0,0,0
LEC,Ferrari,British Grand Prix,Silverstone,2022-07-03,HARD,True,3.0,22,3.0,92.12766666666668,91.59966666666666,-0.52800000000002,18.25320197044335,59.748768472906406,1002.3581280788177,0.04433497536945813,1.4561576354679802,160.49261083743843,3.0,25.0,2.0,1.0,0,0
